housing_type;district;rooms;is_studio;total_area;living_area;kitchen_area;floor;num_floors;bathrooms_type;num_loggia;num_balcony;kitchen_and_living;condition;ceiling_height;nearest_metro_st;minutes_to_metro;num_freight_lift;num_passenger_lift;parking_type;building_type;furniture;price;deal_type;house_completion_year;first_floor_is_com;playground
Вторичка;Советский;2;Нет;56,64255121;23,32759084;16,31543708;13,80392673;25,16031837;Раздельный;1;0;Нет;Косметический;2.6;Нет;;1,01537569;1,034321634;Открытая;Блочный;Нет;10 261 826;Свободная продажа;1928,133772;Нет;Нет
Вторичка;Советский;2;Нет;69,64694716;33,84814089;11,1886454;2,090186631;10,44328941;Раздельный;1;0;Нет;Косметический;2.6;Нет;;0,965769654;1,025688778;Открытая;Кирпичный;Да;12 159 158;Свободная продажа;2111,867118;Нет;Нет
Вторичка;Кстовский;1;Нет;42,83404221;14,31389772;18,38935006;10,12543887;25,18975304;Совмещенный;0;1;Нет;Евро;2.6;Нет;;0;0,977185669;Открытая;Монолитно-кирпичный;Нет;6 845 701;Свободная продажа;2041,730058;Нет;Нет
Вторичка;Канавинский ;1;Нет;34,38851975;19,40733041;9,248752248;3,892854913;8,724422894;Раздельный;1;0;Нет;Косметический;2.5 ;Чкаловская ;5;0;1,002783671;Открытая;Кирпичный;Да;6 486 754;Свободная продажа;1988,942244;Нет;Да
Вторичка;Автозаводский;1;Нет;31,97299562;18,95586781;5,681588603;3,02985877;5,151657387;Совмещенный;0;1;Нет;Косметический;2.6;Парк культуры;13;0;0;Открытая;Панельный;Нет;4 616 918;Альтернативная;1957,281144;Нет;Нет
Новостройка;Кстовский;2;Нет;58,61066539;24,79950316;18,15431382;8,877786201;24,29424656;Раздельный;0;0;Да;Чистовая;2.7 ;Нет;;1,03760547;1,015435731;Открытая;Панельный;Нет;7 788 900;Долевое участие (214-ФЗ);1933,633612;Да;Да
Вторичка;Канавинский ;2;Нет;34,79097927;24,52563509;4,794115539;0,990862025;2,878786803;Совмещенный;0;0;Нет;Косметический;2.6;Нет;;0;0;Открытая;Кирпичный;Нет;3 480 688;Свободная продажа;1977,992551;Нет;Нет
Новостройка;Канавинский;3;Нет;59,60187481;34,81966341;8,031980067;1,925327056;20,7475469;Раздельный;0;0;Да;Предчистовая;2.8 ;Нет;;0,955748924;0,998213555;Подземная;Монолитно-кирпичный;Нет;8 583 658;Долевое участие (214-ФЗ);2043,360776;Да;Да
Вторичка;Московский;2;Нет;43,31167803;26,74395541;5,874126858;1,981385181;3,911070562;Совмещенный;0;1;Нет;Косметический;2.6 ;Чкаловская ;9;0;0;Открытая;Кирпичный;Да;4 703 645;Свободная продажа;1882,505658;Нет;Да
Новостройка;Московский;2;Нет;65,29088783;24,01714228;23,65717177;3,964807106;25,08036298;Раздельный;0;0;Да;Без отделки;2.7 ;Буревестник;16;0,95913438;1,044924004;Открытая;Кирпичный;Нет;10 123 742;Долевое участие (214-ФЗ);2038,523686;Да;Да
Вторичка;Автозаводский;1;Нет;35,68289322;17,63464467;9,1083394;0,969056633;9,237228168;Совмещенный;1;0;Нет;Косметический;2.7 ;Нет;;0;0,97620475;Открытая;Кирпичный;Да;4 484 482;Свободная продажа;1928,476753;Нет;Да
