MAE,RMSE,MSE,R2
301448.0625,421352.6311867531,177538039808.0,0.9922831654548645
399850.21875,574465.5401048874,330010656768.0,0.9856558442115784
318326.53125,433832.4489846282,188210593792.0,0.9918192625045776
1456232.5,1997370.7327944904,3989489844224.0,0.8265938758850098
1449845.0,1994386.956331193,3977579331584.0,0.827111542224884
